layer,head,msa_entropy,masri_entropy,msa_bos_attn,masri_bos_attn,entropy_diff,bos_attn_diff,prompt_id,category
3,1,0.9448645710945129,1.0480287075042725,0.41184645891189575,0.4581131637096405,0.10316413640975952,0.04626670479774475,p01,pronoun
3,2,0.4349229633808136,0.5115113258361816,0.3378671109676361,0.40398097038269043,0.07658836245536804,0.06611385941505432,p01,pronoun
3,3,0.8270534873008728,0.6706256866455078,0.3737223446369171,0.2929859161376953,-0.156427800655365,-0.0807364284992218,p01,pronoun
3,4,1.032057762145996,1.006003737449646,0.46480271220207214,0.4638698697090149,-0.026054024696350098,-0.000932842493057251,p01,pronoun
3,5,0.846898078918457,0.7542105317115784,0.6662350296974182,0.7324278950691223,-0.09268754720687866,0.0661928653717041,p01,pronoun
3,6,0.7853290438652039,0.7909390330314636,0.6999472379684448,0.7292750477790833,0.005609989166259766,0.029327809810638428,p01,pronoun
3,7,1.0810490846633911,0.9914888739585876,0.5570977330207825,0.6247770190238953,-0.08956021070480347,0.06767928600311279,p01,pronoun
3,8,0.9679282903671265,0.9763250350952148,0.44101575016975403,0.4203709065914154,0.008396744728088379,-0.020644843578338623,p01,pronoun
3,9,0.8215242028236389,0.6193691492080688,0.37451693415641785,0.4261538088321686,-0.20215505361557007,0.05163687467575073,p01,pronoun
3,10,1.0629603862762451,0.9287789463996887,0.34036922454833984,0.2946057915687561,-0.1341814398765564,-0.04576343297958374,p01,pronoun
