precision,lang,layer_num,layer_label,top1_token,top1_prob,p_cairo_en,p_cairo_ar,p_egypt_en,p_egypt_ar,p_capital_en,p_city_ar,p_qmark_en,p_qmark_ar,p_dots,p_colon,p_what_en
FP16 Baseline,MSA,8,L7, هي,0.9998399019241332,3.161197898162381e-16,1.2239744672437256e-14,1.6613673522501509e-15,2.0816594361449002e-16,1.234967260833192e-15,7.623095405785707e-13,3.248829544605147e-16,4.136180201357568e-16,2.13062299973962e-19,3.965565939859084e-13,5.2199679312098935e-14
FP16 Baseline,MSA,9,L8, هي,0.9806593060493468,1.7713826553581585e-13,1.0264224637335922e-13,3.034015313291283e-12,5.45093230128928e-15,9.894637192919829e-12,4.952258603196924e-10,9.656057691712767e-14,7.722610291321323e-15,6.500727069015029e-17,4.108077159697965e-12,1.912021701990646e-13
FP16 Baseline,MSA,10,L9, هي,0.5748627185821533,5.330062563188577e-13,2.4392239530296456e-13,2.1780173151131343e-11,1.6675827317863372e-14,5.769404953781532e-10,5.207846243138192e-08,2.478691514193332e-12,6.647158138587544e-14,1.8387265858120158e-14,3.463307196582832e-09,4.407525126121081e-12
FP16 Baseline,MSA,11,L10, هي,0.7537875771522522,5.836168137304809e-14,4.7060334009687774e-14,2.0788147245265343e-11,2.8888137016655534e-15,4.0270581314061355e-10,1.2438263752301282e-08,9.506490646765677e-13,9.355669484836881e-15,2.3300333084935905e-14,2.0937829248168782e-09,1.0978994623156437e-11
FP16 Baseline,MSA,12,L11, هي,0.6778519749641418,6.157785192124551e-14,1.0152853696112315e-14,2.781453669817302e-12,2.415260874261724e-15,6.513564132504256e-10,7.266215629186945e-09,1.3546616898976046e-13,1.2931758943640994e-15,1.9603647522024696e-14,5.441591066634999e-10,3.430525178163557e-12
FP16 Baseline,MSA,13,L12, suivantes,0.2332746833562851,7.706428404490388e-14,5.395267566044026e-13,3.967576701208175e-12,1.4054593230059583e-14,5.494222299340379e-10,1.7993990297782148e-08,6.774459465619387e-11,3.1527273738722605e-13,7.661971202627387e-15,7.467322760135175e-09,3.2713689396279826e-11
FP16 Baseline,MSA,14,L13, invokingState,0.9748708009719848,5.092526720921976e-16,6.637075736009787e-14,3.4870953916294265e-14,1.646735447038929e-17,1.6761078081017901e-09,1.8978631999289064e-09,3.7732853950742107e-13,1.2086558425113136e-13,5.895747683072936e-17,1.5890323779021998e-10,5.884718060067407e-12
FP16 Baseline,MSA,15,L14, invokingState,0.6617218255996704,2.392307001369137e-14,1.1576796379170196e-12,5.384408197084413e-13,1.7769419803481256e-16,3.6611712772582905e-08,1.936304894201157e-09,8.859661593772773e-13,9.61554945909382e-13,3.1829086231499304e-15,1.832158313952448e-10,1.9219247027191244e-10
FP16 Baseline,MSA,16,L15, ſhe,0.4602335095405578,6.643436235159728e-12,7.83061376158356e-12,6.754870968128657e-11,3.156035003649971e-13,8.923878169753152e-08,1.8219376007877488e-10,2.15196740635526e-12,1.8696250602377729e-13,4.98145327884527e-14,1.3282432931305266e-09,1.2754406419901443e-09
FP16 Baseline,MSA,17,L16,nicity,0.6449111104011536,8.131930545607347e-11,1.997151333199554e-09,8.098913900633775e-11,8.985230636783527e-13,8.51352797326399e-06,1.139144046646834e-06,2.5783991608463447e-10,6.76721872983066e-11,1.4099253708987902e-10,1.1849861891732873e-07,1.667445737041362e-08
FP16 Baseline,MSA,18,L17,nicity,0.9198014736175536,1.9951353069647126e-11,7.946297786443067e-11,1.3161007006434744e-11,2.550394791189792e-12,2.6581001293379813e-05,6.123931939328031e-07,1.2253829027031315e-06,6.245027828200023e-10,4.89929050218052e-07,0.0076471013016998,0.0007006150553934
FP16 Baseline,MSA,19,L18,ofition,0.4375907778739929,0.0025022805202752,1.08049960090284e-07,0.0930783972144126,6.512742629638524e-07,0.0001673289661994,1.794866079762869e-06,0.0006150228437036,2.7385462786355678e-08,1.8121273797078172e-06,0.0115064522251486,0.0470271818339824
FP16 Baseline,MSA,20,L19, capital,0.3009080588817596,0.000341520353686,1.1610870487288594e-08,0.0004597377264872,3.2595910415267326e-09,0.3009080588817596,5.247408125796937e-07,1.8088594515575096e-05,4.153779897819732e-08,3.2691190199329874e-08,0.018137440085411,0.0291096400469541
FP16 Baseline,MSA,21,L20,بوابة,0.9797844886779784,4.086008630110882e-05,2.221947736913421e-09,8.526687452103943e-06,1.1180136816335562e-09,0.0007098800269886,3.9770367554758924e-10,0.0001910357386805,7.615750696743362e-09,8.180320946848951e-06,0.0126309683546423,0.0017361032078042
FP16 Baseline,MSA,22,L21, capital,0.3573100864887237,0.0348781272768974,5.204671197134303e-06,9.165914889308624e-06,7.35204395141409e-08,0.3573100864887237,4.649708898796234e-06,0.0505270734429359,8.249397609461084e-08,0.0002745967067312,0.3123214244842529,0.0092346649616956
FP16 Baseline,MSA,23,L22, Cairo,0.9750744104385376,0.9750744104385376,3.662461267595063e-07,0.0004891653661616,6.873339231106001e-09,0.0002855410275515,1.495422274899738e-08,0.0009570726542733,4.895785554737131e-09,0.0004208865575492,0.0017654033144935,3.809334430115996e-07
FP16 Baseline,MSA,24,L23, Cairo,0.2893144488334656,0.2893144488334656,0.0004397473821882,4.728829662781209e-05,1.6966896509984508e-05,0.1678298711776733,0.0014792244182899,0.0015983616467565,0.000805344840046,0.0509207509458065,0.1590236574411392,2.483661774022039e-05
FP16 Baseline,MSA,25,L24,:,0.2318348884582519,0.0008746749372221,0.0480076037347316,3.356751449246076e-06,0.0021257875487208,0.0006797658861614,0.1481373608112335,1.2596230590133928e-05,0.08859134465456,0.0026754436548799,0.2318348884582519,4.276640993339242e-06
FP16 Baseline,MSA,26,L25, القاهرة,0.3786246180534363,6.658497295575216e-05,0.3786246180534363,1.6964857962875612e-08,0.0096649043262004,3.439170086494414e-07,0.1802537143230438,3.949768870370463e-05,0.0008159535354934,0.0036114936228841,0.1114393919706344,4.170524192659286e-08
FP16 Baseline,Masri,0,embed, هي,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP16 Baseline,Masri,1,L0, هي,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP16 Baseline,Masri,2,L1, هي,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP16 Baseline,Masri,3,L2, هي,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP16 Baseline,Masri,4,L3,<bos>,0.9983354210853576,1.2962328273184635e-36,5.629314450365165e-35,1.455411095506286e-35,1.5915306723623995e-37,1.7936620343357662e-43,1.49242490345986e-40,1.0514114737540213e-38,3.004818310036348e-40,3.988095429468429e-42,1.6760027094279647e-38,2.937359801963752e-39
FP16 Baseline,Masri,5,L4, هي,1.0,1.9674708666181088e-25,5.554928615568203e-26,3.7995093534707747e-25,1.6154782225542769e-27,8.818191277884169e-34,2.944145784176847e-30,1.3998861131428451e-31,1.4162579282633576e-31,6.884709844140824e-36,3.7696602959683625e-29,2.0849991188783612e-29
FP16 Baseline,Masri,6,L5,<bos>,1.0,7.744416092937533e-41,4.292195132847258e-38,8.981061987704184e-41,5.912919000064997e-41,0.0,1.2611686178923354e-44,1.465758193683759e-42,0.0,1.401298464324817e-45,1.6218768555941863e-40,5.143045623764944e-41
FP16 Baseline,Masri,7,L6, هي,0.9999970197677612,5.42422071094514e-20,6.805139626038016e-18,2.5905574181535185e-18,6.668037980874351e-20,5.774727514570685e-23,1.4002156364541062e-20,1.2224591474346313e-21,1.2738351717021026e-22,3.2068312035415014e-24,1.2918467573947919e-17,4.461299889119131e-19
FP16 Baseline,Masri,8,L7, هي,0.9999444484710692,2.460341661780492e-16,1.3595398881661136e-14,1.809979134615152e-14,3.60114448162566e-15,4.131631475612135e-15,8.323622281876386e-13,8.954529080577346e-15,4.24637071746588e-17,2.709959326573354e-17,2.090834883700099e-12,8.942547799538434e-15
FP16 Baseline,Masri,9,L8, هي,0.9992934465408324,5.4792443775512553e-14,1.6484193567437025e-13,7.35034776100374e-12,3.8240274797618837e-14,3.3433429635909555e-11,3.6575603656885386e-10,2.7285055725218e-12,9.543767973851274e-16,5.006550865072415e-15,1.193908305552327e-10,2.1311512938496785e-13
FP16 Baseline,Masri,10,L9, هي,0.9778087735176086,5.048190598183623e-13,1.366658522461428e-12,4.0858615102390416e-11,2.368030359474471e-13,1.3780205865288051e-09,7.105704469267948e-08,2.6827659538319887e-10,2.6661256481621404e-14,9.019391678834201e-13,4.8085748716175665e-08,1.9684021773658245e-11
FP16 Baseline,Masri,11,L10, هي,0.927926540374756,4.5876202278217e-14,8.157974079256447e-13,4.419457855231457e-11,2.6685139422602183e-14,8.91033913319461e-10,2.272898314004124e-08,1.8547581526195955e-10,3.0924678237013315e-14,2.074120606168628e-12,2.4011169941218213e-08,2.174603136451125e-10
FP16 Baseline,Masri,12,L11, هي,0.9676733016967772,1.2910244433835677e-13,3.514888033406827e-13,2.692833803163985e-11,1.0000535149339365e-13,6.417680165071715e-09,3.1592888305453926e-09,1.677699229540863e-10,4.494096779016511e-15,7.1313397895234054e-12,4.6347196303031524e-08,1.200379656784989e-10
FP16 Baseline,Masri,13,L12, هي,0.8809354901313782,1.2699380663814402e-13,1.5759827470818166e-11,3.2871056571126545e-11,6.985232162658174e-13,2.898520179428488e-08,1.7791988327076073e-08,6.470288838045235e-08,6.906973365645996e-13,1.3248496050222158e-11,8.693491508893203e-06,8.815067786827058e-09
FP16 Baseline,Masri,14,L13,thenReturn,0.3553940653800964,5.327008501193956e-14,1.804437502195277e-11,1.0718317726421399e-11,5.220924316110638e-15,2.1752321117674e-06,3.3115764352942285e-08,2.0769149955413013e-07,2.2772625798972435e-11,9.186523070026098e-12,1.8683493181015365e-05,5.016346449338016e-08
FP16 Baseline,Masri,15,L14,thenReturn,0.7009551525115967,9.069831609928928e-14,1.1580364271679412e-11,1.1388721563032611e-11,3.32141502716848e-15,7.751191333227325e-06,4.895648331171287e-09,3.443714149398147e-07,2.073997744378442e-11,1.2489451139963134e-10,4.591746346704895e-06,2.930389939592715e-07
FP16 Baseline,Masri,16,L15, ſhe,0.1879856437444687,1.3127325615425178e-11,1.3278096677726836e-10,1.1535313815258519e-09,2.6107438693551144e-12,2.6041623186756624e-06,6.04744809784563e-10,3.1070680961420294e-07,1.1316159814755976e-11,7.869446760899733e-10,2.3967204469954595e-06,5.524384960153839e-06
FP16 Baseline,Masri,17,L16, automatiques,0.2300863116979599,1.399475313412779e-09,5.354078069785828e-08,5.02921837508552e-09,5.197881361440615e-11,0.0003759667742997,2.773969072222826e-06,5.473812052514404e-06,1.8400483914327023e-10,1.908749709400581e-06,0.0003001124132424,1.794766285456717e-05
FP16 Baseline,Masri,18,L17,:,0.4252769351005554,8.027000938937157e-12,2.2671341193269967e-10,1.7016223499699556e-11,7.282451551515745e-12,3.134931102977134e-05,6.406743580100739e-08,0.0017588390037417,3.4332844900397674e-10,0.000294321362162,0.4252769351005554,0.1505483984947204
FP16 Baseline,Masri,19,L18, what,0.5432304739952087,1.4824934169155313e-06,8.065808576596111e-10,0.0002358303900109,5.443795192405787e-09,6.868663604109315e-06,1.1128130639193046e-09,0.4379648268222809,8.003986917692885e-10,9.361858246847987e-06,0.0149611718952655,0.5432304739952087
FP16 Baseline,Masri,20,L19, what,0.7992566227912903,3.735887958100648e-06,1.1900659346864018e-09,2.605225017759949e-05,2.1977883402080067e-10,0.079701229929924,1.5430530186932854e-09,0.0884581208229065,6.332462554325957e-09,5.766642061644234e-07,0.0257020108401775,0.7992566227912903
FP16 Baseline,Masri,21,L20,?,0.8868055939674377,1.0269869399337496e-08,2.0645020415432924e-11,1.93576443763277e-08,8.629465197973474e-12,3.7740199331892654e-05,3.11198170097754e-13,0.8868055939674377,1.0166492092622548e-09,0.0001042950898408,0.006136767566204,0.1061785891652107
FP16 Baseline,Masri,22,L21,?,0.9941529631614684,3.2334583011106595e-08,9.243282528270667e-11,9.779904663886896e-11,1.359607630473103e-12,3.0195924409781583e-05,3.388835002546276e-12,0.9941529631614684,8.646372506859734e-11,1.6338985005859286e-05,0.0004489657876547,0.0051071587949991
FP16 Baseline,Masri,23,L22,?,0.6957481503486633,0.0014600747963413,4.4701033985461436e-09,9.17179113457678e-06,1.3080241056950823e-10,4.074418029631488e-05,2.2246326308872355e-11,0.6957481503486633,6.8500445316033165e-09,0.0426689870655536,0.0005626094643957,4.744996840599924e-05
